Nb,Si,Ti,Cr,Al,Hf,Mo,W,Ta,Zr,Y,B,Fe,Ga,Ge,V,Mg,Sn,Re,Vickers_hardness_(Hv)
59.000 ,16.000 ,22.000 ,,3.000 ,,,,,,,,,,,,,,,480.000 
55.000 ,16.000 ,22.000 ,,3.000 ,4.000 ,,,,,,,,,,,,,,500.000 
57.000 ,16.000 ,22.000 ,,3.000 ,,,,,,,2.000 ,,,,,,,,510.000 
54.000 ,16.000 ,22.000 ,5.000 ,3.000 ,,,,,,,,,,,,,,,560.000 
53.000 ,16.000 ,22.000 ,,3.000 ,4.000 ,,,,,,2.000 ,,,,,,,,500.000 
50.000 ,16.000 ,22.000 ,5.000 ,3.000 ,4.000 ,,,,,,,,,,,,,,570.000 
52.000 ,16.000 ,22.000 ,5.000 ,3.000 ,,,,,,,2.000 ,,,,,,,,590.000 
48.000 ,16.000 ,22.000 ,5.000 ,3.000 ,4.000 ,,,,,,2.000 ,,,,,,,,570.000 
59.000 ,16.000 ,22.000 ,,3.000 ,,,,,,,,,,,,,,,470.000 
55.000 ,16.000 ,22.000 ,,3.000 ,4.000 ,,,,,,,,,,,,,,400.000 
57.000 ,16.000 ,22.000 ,,3.000 ,,,,,,,2.000 ,,,,,,,,500.000 
54.000 ,16.000 ,22.000 ,5.000 ,3.000 ,,,,,,,,,,,,,,,540.000 
53.000 ,16.000 ,22.000 ,,3.000 ,4.000 ,,,,,,2.000 ,,,,,,,,410.000 
50.000 ,16.000 ,22.000 ,5.000 ,3.000 ,4.000 ,,,,,,,,,,,,,,510.000 
52.000 ,16.000 ,22.000 ,5.000 ,3.000 ,,,,,,,2.000 ,,,,,,,,570.000 
48.000 ,16.000 ,22.000 ,5.000 ,3.000 ,4.000 ,,,,,,2.000 ,,,,,,,,510.000 
70.000 ,20.500 ,,,,5.400 ,,,,,,,,,,,,4.100 ,,693.000 
70.000 ,20.500 ,,,,5.400 ,,,,,,,,,,,,4.100 ,,588.000 
70.000 ,20.500 ,,,,5.400 ,,,,,,,,,,,,4.100 ,,592.000 
72.100 ,18.900 ,,,5.000 ,,,,,,,,,,,,,4.000 ,,952.000 
72.100 ,18.900 ,,,5.000 ,,,,,,,,,,,,,4.000 ,,977.000 
66.200 ,19.700 ,,4.500 ,,5.300 ,,,,,,,,,,,,4.500 ,,809.000 
66.200 ,19.700 ,,4.500 ,,5.300 ,,,,,,,,,,,,4.500 ,,769.000 
67.600 ,19.400 ,,,4.400 ,5.300 ,,,,,,,,,,,,3.300 ,,915.000 
67.600 ,19.400 ,,,4.400 ,5.300 ,,,,,,,,,,,,3.300 ,,882.000 
67.600 ,19.400 ,,,4.400 ,5.300 ,,,,,,,,,,,,3.300 ,,887.000 
67.600 ,19.400 ,,,4.400 ,5.300 ,,,,,,,,,,,,3.300 ,,879.000 
51.400 ,6.200 ,23.000 ,2.100 ,5.000 ,5.400 ,,,,,,,,,,4.700 ,,2.200 ,,475.000 
51.400 ,6.200 ,23.000 ,2.100 ,5.000 ,5.400 ,,,,,,,,,,4.700 ,,2.200 ,,454.000 
69.300 ,20.500 ,,,,4.400 ,,5.800 ,,,,,,,,,,,,632.000 
69.300 ,20.400 ,,,,5.000 ,,5.200 ,,,,,,,,,,,,538.000 
73.100 ,20.200 ,,,,,4.600 ,2.100 ,,,,,,,,,,,,600.000 
73.300 ,19.200 ,,,,,5.600 ,1.900 ,,,,,,,,,,,,592.000 
65.300 ,22.500 ,,,,4.700 ,4.000 ,3.600 ,,,,,,,,,,,,692.000 
64.500 ,22.800 ,,,,5.300 ,4.800 ,2.600 ,,,,,,,,,,,,569.000 
74.000 ,18.000 ,,,,5.000 ,2.000 ,,1.000 ,,,,,,,,,,,691.000 
74.000 ,18.000 ,,,,5.000 ,2.000 ,,1.000 ,,,,,,,,,,,531.000 
80.000 ,10.000 ,,,,,,10.000 ,,,,,,,,,,,,505.000 
79.900 ,10.000 ,,,,,,10.000 ,,,,,,,,,,,,467.000 
79.000 ,10.000 ,,,,,,10.000 ,,,,1.000 ,,,,,,,,466.000 
78.000 ,10.000 ,,,,,,10.000 ,,,,2.000 ,,,,,,,,512.000 
80.000 ,10.000 ,,,,,,10.000 ,,,,,,,,,,,,505.000 
79.900 ,10.000 ,,,,,,10.000 ,,,,,,,,,,,,467.000 
79.000 ,10.000 ,,,,,,10.000 ,,,,1.000 ,,,,,,,,466.000 
78.000 ,10.000 ,,,,,,10.000 ,,,,2.000 ,,,,,,,,512.000 
80.000 ,10.000 ,,,,,,10.000 ,,,,,,,,,,,,505.000 
79.900 ,10.000 ,,,,,,10.000 ,,,,,,,,,,,,467.000 
79.000 ,10.000 ,,,,,,10.000 ,,,,1.000 ,,,,,,,,466.000 
78.000 ,10.000 ,,,,,,10.000 ,,,,2.000 ,,,,,,,,512.000 
77.000 ,18.000 ,,,,,,,,,,,,,,,,,,814.000 
77.000 ,18.000 ,,,,,,,,,,,,,,,,,,761.000 
77.000 ,18.000 ,,,,,,,,,,,,,,,,,,675.000 
77.000 ,18.000 ,,,,,,,,,,,,,,,,,,687.000 
53.000 ,18.000 ,24.000 ,,,,,,,,,,,,,,,5.000 ,,638.000 
53.000 ,18.000 ,24.000 ,,,,,,,,,,,,,,,5.000 ,,683.000 
72.000 ,18.000 ,,5.000 ,,5.000 ,,,,,,,,,,,,,,586.000 
72.000 ,18.000 ,,5.000 ,,5.000 ,,,,,,,,,,,,,,396.000 
72.000 ,18.000 ,,,5.000 ,5.000 ,,,,,,,,,,,,,,560.000 
72.000 ,18.000 ,,,5.000 ,5.000 ,,,,,,,,,,,,,,426.000 
53.000 ,18.000 ,24.000 ,,,5.000 ,,,,,,,,,,,,,,586.000 
53.000 ,18.000 ,24.000 ,,,5.000 ,,,,,,,,,,,,,,460.000 
64.000 ,4.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,434.000 
64.000 ,4.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,357.000 
60.000 ,4.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,478.000 
60.000 ,4.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,375.000 
56.000 ,4.000 ,20.000 ,14.000 ,,6.000 ,,,,,,,,,,,,,,517.000 
56.000 ,4.000 ,20.000 ,14.000 ,,6.000 ,,,,,,,,,,,,,,404.000 
56.000 ,4.000 ,20.000 ,14.000 ,,6.000 ,,,,,,,,,,,,,,517.000 
64.000 ,4.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,434.000 
64.000 ,4.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,434.000 
60.000 ,16.000 ,20.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,,,,,553.000 
59.500 ,16.000 ,20.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,,,,0.500 ,582.000 
59.000 ,16.000 ,20.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,,,,1.000 ,595.000 
58.500 ,16.000 ,20.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,,,,1.500 ,614.000 
58.000 ,16.000 ,20.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,,,,2.000 ,625.000 
49.400 ,16.000 ,23.000 ,4.000 ,2.000 ,2.000 ,,,,3.000 ,0.600 ,,,,,,,,,1206.000 
47.700 ,16.000 ,23.000 ,4.000 ,2.000 ,2.000 ,,,,3.000 ,,,,,,,,,,1640.000 
47.400 ,16.000 ,23.000 ,4.000 ,2.000 ,2.000 ,,,,3.000 ,0.600 ,,,,,,,,,1573.000 
48.000 ,18.000 ,24.000 ,5.000 ,,,,,,,,,,,,,,,,716.000 
48.000 ,18.000 ,24.000 ,5.000 ,,,,,,,,,,,,,,,,752.000 
43.000 ,18.000 ,24.000 ,5.000 ,,,,,,,,,,,,,,5.000 ,,612.000 
74.000 ,16.000 ,,,,,10.000 ,,,,,,,,,,,,,750.700 
74.000 ,16.000 ,,,,,10.000 ,,,,,,,,,,,,,757.600 
74.000 ,16.000 ,,,,,10.000 ,,,,,,,,,,,,,723.200 
64.000 ,16.000 ,10.000 ,,,,10.000 ,,,,,,,,,,,,,619.400 
64.000 ,16.000 ,10.000 ,,,,10.000 ,,,,,,,,,,,,,626.500 
64.000 ,16.000 ,10.000 ,,,,10.000 ,,,,,,,,,,,,,602.600 
80.000 ,14.500 , ,5.000 ,0.500 ,,,,,,,,,,,,,,,910.000 
80.000 ,14.000 ,,5.000 ,1.000 ,,,,,,,,,,,,,,,920.000 
80.000 ,13.500 ,,5.000 ,1.500 ,,,,,,,,,,,,,,,940.000 
80.000 ,13.000 ,,5.000 ,2.000 ,,,,,,,,,,,,,,,1000.000 
80.000 ,12.000 ,,5.000 ,3.000 ,,,,,,,,,,,,,,,1200.000 
75.000 ,12.000 ,,5.000 ,3.000 ,,5.000 ,,,,,,,,,,,,,1350.000 
70.000 ,12.000 ,,5.000 ,3.000 ,,10.000 ,,,,,,,,,,,,,1450.000 
81.210 ,18.790 ,,,,,,,,,,,,,,,,,,1031.000 
77.100 ,20.200 ,,,,,,,,,,,,2.700 ,,,,,,1064.000 
81.300 ,18.700 ,,,,,,,,,,,,,,,,,,1031.000 
81.300 ,15.700 ,,,,,,,,,,,,,,,3.000 ,,,985.000 
48.000 ,16.000 ,24.000 ,4.000 ,2.000 ,,,,,6.000 ,,,,,,,,,,661.000 
48.000 ,16.000 ,24.000 ,4.000 ,2.000 ,,,,,6.000 ,,,,,,,,,,717.000 
48.000 ,16.000 ,24.000 ,4.000 ,2.000 ,,,,,6.000 ,,,,,,,,,,700.000 
48.000 ,16.000 ,24.000 ,4.000 ,2.000 ,,,,,6.000 ,,,,,,,,,,820.000 
48.000 ,16.000 ,24.000 ,4.000 ,2.000 ,,,,,6.000 ,,,,,,,,,,776.000 
48.000 ,16.000 ,24.000 ,4.000 ,2.000 ,,,,,6.000 ,,,,,,,,,,816.000 
71.300 ,18.700 ,5.000 ,,,,,,,5.000 ,,,,,,,,,,799.400 
55.000 ,15.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,765.000 
55.000 ,15.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,789.000 
55.000 ,15.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,807.000 
43.000 ,15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,897.000 
43.000 ,15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,910.000 
43.000 ,15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,922.000 
55.000 ,15.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,765.000 
55.000 ,15.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,789.000 
55.000 ,15.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,807.000 
43.000 ,15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,897.000 
43.000 ,15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,910.000 
43.000 ,15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,922.000 
56.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,,,,,1049.000 
56.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,,,,,1089.000 
56.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,,,,,1142.000 
56.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,,,,,1150.000 
55.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,1.000 ,,,,,,,377.000 
54.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,2.000 ,,,,,,,404.000 
52.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,4.000 ,,,,,,,445.000 
50.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,6.000 ,,,,,,,467.000 
55.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,1.000 ,,,,,,,265.000 
54.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,2.000 ,,,,,,,287.000 
52.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,4.000 ,,,,,,,335.000 
50.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,6.000 ,,,,,,,355.000 
55.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,1.000 ,,,,,,,265.000 
54.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,2.000 ,,,,,,,287.000 
52.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,4.000 ,,,,,,,335.000 
50.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,6.000 ,,,,,,,355.000 
55.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,1.000 ,,,,,,,265.000 
54.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,2.000 ,,,,,,,287.000 
52.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,4.000 ,,,,,,,335.000 
50.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,6.000 ,,,,,,,355.000 
90.000 ,,,,,,,10.000 ,,,,,,,,,,,,220.000 
85.000 ,5.000 ,,,,,,10.000 ,,,,,,,,,,,,310.000 
80.000 ,10.000 ,,,,,,10.000 ,,,,,,,,,,,,345.000 
90.000 ,10.000 ,,,,,,,,,,,,,,,,,,255.000 
85.000 ,10.000 ,,,,,,5.000 ,,,,,,,,,,,,315.000 
90.000 ,,,,,,,10.000 ,,,,,,,,,,,,220.000 
85.000 ,5.000 ,,,,,,10.000 ,,,,,,,,,,,,310.000 
80.000 ,10.000 ,,,,,,10.000 ,,,,,,,,,,,,345.000 
90.000 ,10.000 ,,,,,,,,,,,,,,,,,,255.000 
85.000 ,10.000 ,,,,,,5.000 ,,,,,,,,,,,,315.000 
82.000 ,16.000 ,,,,,,,,,,,2.000 ,,,,,,,364.000 
80.000 ,16.000 ,,,,,,,,,,,4.000 ,,,,,,,394.000 
78.000 ,16.000 ,,,,,,,,,,,6.000 ,,,,,,,441.000 
82.000 ,16.000 ,,,,,,,,,,,2.000 ,,,,,,,241.000 
80.000 ,16.000 ,,,,,,,,,,,4.000 ,,,,,,,286.000 
78.000 ,16.000 ,,,,,,,,,,,6.000 ,,,,,,,319.000 
82.000 ,16.000 ,,,,,,,,,,,2.000 ,,,,,,,241.000 
80.000 ,16.000 ,,,,,,,,,,,4.000 ,,,,,,,286.000 
78.000 ,16.000 ,,,,,,,,,,,6.000 ,,,,,,,319.000 
82.000 ,16.000 ,,,,,,,,,,,2.000 ,,,,,,,241.000 
80.000 ,16.000 ,,,,,,,,,,,4.000 ,,,,,,,286.000 
78.000 ,16.000 ,,,,,,,,,,,6.000 ,,,,,,,319.000 
43.000 ,18.000 ,24.000 ,5.000 ,5.000 ,,,,,,,,,,5.000 ,,,,,840.000 
38.000 ,18.000 ,24.000 ,5.000 ,5.000 ,5.000 ,,,,,,,,,5.000 ,,,,,854.000 
43.000 ,18.000 ,24.000 ,5.000 ,5.000 ,,,,,,,,,,5.000 ,,,,,801.000 
38.000 ,18.000 ,24.000 ,5.000 ,5.000 ,5.000 ,,,,,,,,,5.000 ,,,,,779.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,503.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,521.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,551.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,410.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,452.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,466.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,410.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,452.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,466.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,410.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,452.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,466.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,410.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,452.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,466.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,410.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,452.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,466.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,410.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,452.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,466.000 
